product_code,description,cost_price,selling_price,markup_percent,vendor_name,category
DS-KIS313-P,"Hybrid HD video intercom Kit (IP indoor station and analog door station)
Kit including DS-KB2422T-IM and DS-KH6352-WTDE6
Including one monitor, one ourdoor panel, 5-meter 4-wire cable, and other accessories
indoor station: 7 inch touch screen, wi-fi,  support Hik-Connect APP
door station: 2MP camera, IP65, IK08
It includes European power adapter,  if you want to change the standard of power supply, you have to mark which standard of power adapter you want when you place an order",2460.7,3568.01,45,HIKVISION SA,Hybrid Video Intercom Kit
DS-KH6352-WTDE6(B),Indoor Station For DS-KIS313-P,1443.26,2092.73,45,HIKVISION SA,Indoor Station
DS-KIS213(B),"4-wire HD Analog Video Intercom Kit
Kit including DS-KB2422T-IM(B) and DS-KH2230T(B)
Include one monitor, one ourdoor panel, 5-meter 4-wire cable, and other accessories
indoor station: 7 inch LCD screen
door station: 2MP camera, HD TVI video quality, metal, IP65, IK08",1405.57,2038.08,45,HIKVISION SA,Hybrid Video Intercom Kit
DS-KH2230T(B),Indoor Station For DS-KIS213(B),783.8,1136.51,45,HIKVISION SA,Indoor Station
DS-KIS703Y-P,"Vandal Proof Standard PoE Doorbell
Call directly to Hik-Connect APP without indoor station.
2 MP IP Vandal-resistant Door Station, 80°(Horizontal) and 44°(Vertical), field of view adjustment -50° to 50°, 10/100 Mbps Self-Adaptive Ethernet, PoE (Power over",2597.61,3766.53,45,HIKVISION SA,Two-wire Digital  IP Video Intercom Kit
DS-PEA103-K1,"Emergency call/Audio Intercom
Broadcast/Wired IP/Siren and audio expandable/IK8/IP65
Power Supply: 12V DC",2520.99,3655.44,45,HIKVISION SA,Panic Intercom
DS-PEA103-CK1,"Emergency call/Built-in 2MP camera
Video monitoring/Audio Intercom/Broadcast/Wired IP/Siren and audio expandable/IK8/IP65
Power Supply: 12V DC",3333.68,4833.84,45,HIKVISION SA,Panic Intercom
DS-PEA103-CK1-E1,"Emergency call/Built-in 2MP camera
Video monitoring/Audio Intercom/Broadcast/Wired IP/Siren and audio expandable/IK8/IP65
Power Supply: 12V DC / PoE supported",3455.52,5010.5,45,HIKVISION SA,Panic Intercom
DS-PEAP-CV1(B),"Emergency call/Built-in 4MP camera
Video monitoring/Audio Intercom/Broadcast/Wired IP/Dual net port/MicroSD/SDHC/SDXC 128GB/Siren and audio expandable/PoE supported/IK10 /IP65
Surface mount
Power Supply: 12V DC / PoE supported",4097.39,5941.22,45,HIKVISION SA,Panic Intercom
DS-PEAP-CV1E(B),"Emergency call/Built-in 4MP camera
Video monitoring/Audio Intercom/Broadcast/Wired IP/Dual net port/MicroSD/SDHC/SDXC 128GB/Siren and audio expandable/PoE supported/IK10/IP65
Power Supply: 12V DC / PoE supported",4097.39,5941.22,45,HIKVISION SA,Panic Intercom
